condition,year,model,trim,title,price,mileage,dealer,deal,link
Used,2014,Avalon,Toyota Avalon XLE,Used 2014 Toyota Avalon XLE,"$14,950","102,536 mi.",Arrowhead BMW,good-deal,https://www.cars.com/vehicledetail/576789f5-8723-4f5f-a023-40f1ba415bcf/?attribution_type=p_one
Used,2018,Avalon,Toyota Avalon XLE Premium,Used 2018 Toyota Avalon XLE Premium,"$22,900","44,854 mi.",Showcase Honda,good-deal,https://www.cars.com/vehicledetail/8e513066-aac4-4a03-98b9-4af00d0cc2d3/
Used,2022,Avalon,Toyota Avalon XLE,Used 2022 Toyota Avalon XLE,"$28,998","37,249 mi.",CarMax Phoenix-Gilbert,good-deal,https://www.cars.com/vehicledetail/b300057d-64fc-449a-96b2-3fbf582e0a31/
Used,2015,Avalon,Toyota Avalon XLE Touring,Used 2015 Toyota Avalon XLE Touring,"$13,400","97,300 mi.",Desert Drive Auto Sales,great-deal,https://www.cars.com/vehicledetail/c116def0-85b5-410c-826d-3c975f1cbfd5/
Used,2016,Avalon,Toyota Avalon Limited,Used 2016 Toyota Avalon Limited,"$17,491","74,124 mi.",Ideal Cars,great-deal,https://www.cars.com/vehicledetail/f9f28573-6b00-4d2c-9fad-af547ed0c44f/
Used,2015,Avalon,Toyota Avalon XLE Premium,Used 2015 Toyota Avalon XLE Premium,"$15,139","120,137 mi.",Camelback Toyota,good-deal,https://www.cars.com/vehicledetail/7471373e-1616-4e43-875d-b2dd2f5a79bf/
Used,2021,Avalon,Toyota Avalon XSE Nightshade,Used 2021 Toyota Avalon XSE Nightshade,"$31,603","53,118 mi.",Larry H. Miller Volkswagen Avondale,fair-deal,https://www.cars.com/vehicledetail/3688fd87-3154-4838-a9d8-f816322f907d/
Used,2018,Avalon,Toyota Avalon XLE,Used 2018 Toyota Avalon XLE,"$15,998","99,468 mi.",Auto House,great-deal,https://www.cars.com/vehicledetail/dfa782c5-4f17-47c0-b276-4e7baf50b518/
Used,2006,Avalon,Toyota Avalon XL,Used 2006 Toyota Avalon XL,"$7,995","112,779 mi.",Carz R Us LLC,good-deal,https://www.cars.com/vehicledetail/59e908ce-92ba-4679-9cee-c96b367bb796/
Used,2012,Avalon,Toyota Avalon Limited,Used 2012 Toyota Avalon Limited,"$6,995","217,660 mi.",Brown & Brown Wholesale,good-deal,https://www.cars.com/vehicledetail/d7f1637c-229f-49ba-a1db-876b83a857fa/
Used,2005,Avalon,Toyota Avalon XL,Used 2005 Toyota Avalon XL,"$7,777","111,000 mi.",New Deal Pre-Owned Auto,great-deal,https://www.cars.com/vehicledetail/0c888d58-47b2-4692-8b5e-e861ef48c404/
Used,2017,Avalon,Toyota Avalon Limited,Used 2017 Toyota Avalon Limited,"$19,981","101,566 mi.",Earnhardt Toyota,fair-deal,https://www.cars.com/vehicledetail/f9d6080e-b1d7-47f1-9a6c-e8631d2fae31/
Used,2018,Avalon,Toyota Avalon Touring,Used 2018 Toyota Avalon Touring,"$21,748","72,633 mi.",Superstition Springs Lexus,good-deal,https://www.cars.com/vehicledetail/b242458f-e727-4c9e-92cc-f8f82e9bdca9/
Used,2018,Avalon,Toyota Avalon XLE,Used 2018 Toyota Avalon XLE,"$18,995","67,147 mi.",Pro Plus Auto Sales LLC,good-deal,https://www.cars.com/vehicledetail/c16465b3-f540-4b60-bedb-27fe36b5c199/
Used,2020,Avalon,Toyota Avalon XSE,Used 2020 Toyota Avalon XSE,"$21,990","57,423 mi.",American Auto Sales LLC,,https://www.cars.com/vehicledetail/c21c9abb-ef3f-4bf9-8103-5693e8216a99/
Used,2018,Avalon,Toyota Avalon Touring,Used 2018 Toyota Avalon Touring,"$15,990","38,445 mi.",Expo Auto Sales LLC,,https://www.cars.com/vehicledetail/58a11017-575b-46e3-b41c-d9cf835e0e86/
Used,2015,Avalon,Toyota Avalon Limited,Used 2015 Toyota Avalon Limited,$0,0 mi.,Van Chevrolet,,https://www.cars.com/vehicledetail/9a60ccc6-d357-4202-adaa-bca24ef7f3f6/
Used,2000,Avalon,Toyota Avalon XLS,Used 2000 Toyota Avalon XLS,$0,"194,275 mi.",Brown & Brown Wholesale,,https://www.cars.com/vehicledetail/a81936da-f0f1-4484-b9f4-6735f2b1dac9/
Used,2014,Avalon,Toyota Avalon XLE,Used 2014 Toyota Avalon XLE,$0,"185,853 mi.",Brown & Brown Wholesale,,https://www.cars.com/vehicledetail/a99d3dda-0031-4471-800c-88be37d6faa1/
Used,2014,Avalon,Toyota Avalon Limited,Used 2014 Toyota Avalon Limited,"$16,998","103,436 mi.",CarMax Tucson,good-deal,https://www.cars.com/vehicledetail/c62dc505-36af-4664-a54a-e566f477258f/?attribution_type=ship
Used,2015,Avalon,Toyota Avalon XLE,Used 2015 Toyota Avalon XLE,"$17,998","78,383 mi.",CarMax Oxnard,good-deal,https://www.cars.com/vehicledetail/aff581f8-bf59-4f50-bd70-902eb73c2501/?attribution_type=ship
Used,2013,Avalon,Toyota Avalon,Used 2013 Toyota Avalon,"$13,030","145,486 mi.",Larry H. Miller Chrysler Jeep Tucson,fair-deal,https://www.cars.com/vehicledetail/47985a8c-bf5f-4fcc-a5f7-acc27839c1f7/
Used,2014,Avalon,Toyota Avalon Limited,Used 2014 Toyota Avalon Limited,"$16,998","103,436 mi.",CarMax Tucson,good-deal,https://www.cars.com/vehicledetail/c62dc505-36af-4664-a54a-e566f477258f/
Certified,2021,Avalon,Toyota Avalon XSE,Certified 2021 Toyota Avalon XSE,"$31,874","99,942 mi.",Findlay Toyota Prescott,default,https://www.cars.com/vehicledetail/1a5a78ab-52d8-4717-b0a4-bf1a66b212ed/
Used,2022,Avalon,Toyota Avalon XLE,Used 2022 Toyota Avalon XLE,"$29,999","53,283 mi.",Holmes Tuttle Ford Lincoln,good-deal,https://www.cars.com/vehicledetail/17b12eea-6b28-4169-9640-99aee5be95b0/
Used,2021,Avalon,Toyota Avalon Limited,Used 2021 Toyota Avalon Limited,"$29,990","32,950 mi.",Unique Imports,good-deal,https://www.cars.com/vehicledetail/d68007de-d44a-45ec-9165-c0b11a085982/
Used,2008,Avalon,Toyota Avalon XL,Used 2008 Toyota Avalon XL,"$9,497","108,497 mi.",Metro Motors LLC,great-deal,https://www.cars.com/vehicledetail/d47ddaeb-d2f7-48b8-94ff-2a3ce488850d/
Used,2011,Avalon,Toyota Avalon Limited,Used 2011 Toyota Avalon Limited,"$8,995","143,879 mi.",Tucson Auto Sales,great-deal,https://www.cars.com/vehicledetail/8501dafc-11fe-476d-8ddd-448558e25613/
Used,2003,Avalon,Toyota Avalon XLS,Used 2003 Toyota Avalon XLS,$0,"123,226 mi.",Jim Click Hyundai Auto Mall,,https://www.cars.com/vehicledetail/0fbcc6a6-8956-4ba2-9a67-f226cd1d33b2/
Used,2013,Avalon,Toyota Avalon Limited,Used 2013 Toyota Avalon Limited,"$12,995","153,189 mi.",Car World,fair-deal,https://www.cars.com/vehicledetail/2412e62c-09d3-4b03-9a02-1d3a5a8a1fdc/
