condition,year,model,trim,title,price,mileage,dealer,deal,link
Used,2018,Charger,Dodge Charger R/T Scat Pack,Used 2018 Dodge Charger R/T Scat Pack,"$25,355","118,491 mi.",Carizona,good-deal,https://www.cars.com/vehicledetail/df4aeaec-ee3b-46e6-97f7-126d5657a4df/?attribution_type=p_one
Used,2023,Charger,Dodge Charger SXT,Used 2023 Dodge Charger SXT,"$26,000","17,215 mi.",Larry H. Miller Dodge RAM Peoria,great-deal,https://www.cars.com/vehicledetail/a6d61d4c-ac52-4940-881c-fc4631a4f9a3/
Used,2022,Charger,Dodge Charger R/T,Used 2022 Dodge Charger R/T,"$30,373","60,157 mi.",Bill Luke Santan,good-deal,https://www.cars.com/vehicledetail/46433508-d09b-4c84-8022-c43994b01605/
Used,2020,Charger,Dodge Charger Scat Pack,Used 2020 Dodge Charger Scat Pack,"$37,000","95,592 mi.",Larry H. Miller Chrysler Jeep Dodge RAM Surprise,fair-deal,https://www.cars.com/vehicledetail/44e3db08-b222-404c-8ad6-f2c855b23301/
Used,2022,Charger,Dodge Charger Scat Pack,Used 2022 Dodge Charger Scat Pack,"$50,999","32,765 mi.",Sands Chevrolet - Surprise,good-deal,https://www.cars.com/vehicledetail/7bbe116f-5cc9-41c6-848c-1efae5616117/
Used,2023,Charger,Dodge Charger GT,Used 2023 Dodge Charger GT,"$27,300","55,483 mi.",Courtesy Chrysler Dodge Jeep RAM of Superstition Springs,good-deal,https://www.cars.com/vehicledetail/14e4a1f0-25c5-482d-98cc-579c0ed4d130/
Used,2021,Charger,Dodge Charger GT,Used 2021 Dodge Charger GT,"$22,491","67,663 mi.",AutoNation Chevrolet Arrowhead,good-deal,https://www.cars.com/vehicledetail/fc52feeb-d9f0-4f01-87d4-e27b6e9e07fb/
Used,2023,Charger,Dodge Charger SRT8,Used 2023 Dodge Charger SRT8,"$51,382","7,867 mi.",Earnhardt Chrysler Jeep Dodge RAM,good-deal,https://www.cars.com/vehicledetail/5738441d-955d-492c-829e-efc712389b1d/
Used,2021,Charger,Dodge Charger GT,Used 2021 Dodge Charger GT,"$21,998","64,967 mi.",Showcase Honda,good-deal,https://www.cars.com/vehicledetail/8cc6b50b-f4e9-4b51-a653-ca57a0e75cbe/
Used,2023,Charger,Dodge Charger R/T Scat Pack,Used 2023 Dodge Charger R/T Scat Pack,"$57,472","4,603 mi.",Airpark Dodge Chrysler Jeep RAM,good-deal,https://www.cars.com/vehicledetail/cce0c364-9629-4b4f-aa44-b659bc128960/
Used,2016,Charger,Dodge Charger SE,Used 2016 Dodge Charger SE,"$12,566","111,134 mi.",Larry H. Miller Nissan Mesa,good-deal,https://www.cars.com/vehicledetail/9b0f6037-4932-40a6-aea4-fe11a5a01098/
Used,2021,Charger,Dodge Charger SXT,Used 2021 Dodge Charger SXT,"$24,998","42,272 mi.",CarMax Phoenix-Gilbert,good-deal,https://www.cars.com/vehicledetail/370d66b9-b18e-40cb-bd2c-79fd803d010e/
Used,2022,Charger,Dodge Charger SXT,Used 2022 Dodge Charger SXT,"$15,491","91,765 mi.",Ideal Cars,great-deal,https://www.cars.com/vehicledetail/04ea2118-3311-4578-a344-b03b94932b67/
Used,2015,Charger,Dodge Charger R/T,Used 2015 Dodge Charger R/T,"$15,495","125,590 mi.",Trucks and More LLC,fair-deal,https://www.cars.com/vehicledetail/77e1f1d4-3a00-44a1-b4ec-c6097c76e303/
Used,2020,Charger,Dodge Charger SXT,Used 2020 Dodge Charger SXT,"$20,095","59,126 mi.",DriveTime of Central Phoenix,good-deal,https://www.cars.com/vehicledetail/9b9e4e08-504f-4c3f-8ffc-487f8fabe56d/
Used,2020,Charger,Dodge Charger Scat Pack,Used 2020 Dodge Charger Scat Pack,"$35,888","117,685 mi.",Carizona,,https://www.cars.com/vehicledetail/e0a6ace4-c779-483d-bff8-33db7ee7b911/
Used,2022,Charger,Dodge Charger GT,Used 2022 Dodge Charger GT,"$22,995","80,020 mi.",Rollit Motors,good-deal,https://www.cars.com/vehicledetail/d2b28454-fafc-49da-a314-4fadb0fc20b0/
Used,2014,Charger,Dodge Charger R/T,Used 2014 Dodge Charger R/T,"$14,988","117,028 mi.",101 AUTO OUTLET,good-deal,https://www.cars.com/vehicledetail/d3d40cee-8e08-4cfb-afd6-a6649220b1e8/
Used,2023,Charger,Dodge Charger R/T 392,Used 2023 Dodge Charger R/T 392,"$46,200","11,329 mi.",AutoSavvy Gilbert,,https://www.cars.com/vehicledetail/719814df-352a-4bbf-966b-9c967b8f503b/
Used,2020,Charger,Dodge Charger Scat Pack,Used 2020 Dodge Charger Scat Pack,"$35,996","70,076 mi.",Automart Superstore,good-deal,https://www.cars.com/vehicledetail/891d446c-3e9c-40ee-8986-7cf1b23aa440/
Used,2016,Charger,Dodge Charger R/T Scat Pack,Used 2016 Dodge Charger R/T Scat Pack,"$20,995","109,801 mi.",Brown & Brown Wholesale,great-deal,https://www.cars.com/vehicledetail/c4bd0ecd-dcac-4b17-8f57-76466dbf7287/
Used,2015,Charger,Dodge Charger Police,Used 2015 Dodge Charger Police,"$12,000","67,050 mi.",Desert Drive Auto Sales,default,https://www.cars.com/vehicledetail/43480872-eb36-4fc1-a0d8-34af79bef83f/
Used,2016,Charger,Dodge Charger SXT,Used 2016 Dodge Charger SXT,"$12,891","111,037 mi.",Ideal Cars East Main (Atlas),good-deal,https://www.cars.com/vehicledetail/bdd0020b-255e-4ccb-8eec-69651c013d01/
Used,2023,Charger,Dodge Charger GT,Used 2023 Dodge Charger GT,"$24,998","51,518 mi.",CarMax West Sahara,great-deal,https://www.cars.com/vehicledetail/473a8553-630a-4aa3-ad0b-6f3f56a6b269/?attribution_type=ship
Used,2023,Charger,Dodge Charger SXT,Used 2023 Dodge Charger SXT,"$25,998","22,054 mi.",CarMax LAX,,https://www.cars.com/vehicledetail/dbe41bc5-00e5-4ed2-82d1-83e22e64e453/?attribution_type=ship
