condition,year,model,trim,title,price,mileage,dealer,deal,link
Used,2019,Civic,Honda Civic EX,Used 2019 Honda Civic EX,"$19,130","81,155 mi.",AutoNation Honda Chandler,good-deal,https://www.cars.com/vehicledetail/2cb08058-2e93-4a1d-a657-8f49a0ed8dee/?attribution_type=premier
Used,2018,Civic,Honda Civic EX,Used 2018 Honda Civic EX,"$15,998","67,658 mi.",Right Toyota,great-deal,https://www.cars.com/vehicledetail/6b0d64d8-cc56-4785-9a4f-aca4bacc5002/?attribution_type=isa
Used,2023,Civic,Honda Civic Touring,Used 2023 Honda Civic Touring,"$21,888","70,908 mi.",Right Honda,good-deal,https://www.cars.com/vehicledetail/695010a9-0976-4fda-91a9-4712f7d32aaa/
Used,2024,Civic,Honda Civic Sport,Used 2024 Honda Civic Sport,"$23,557","36,304 mi.",Earnhardt Chrysler Jeep Dodge RAM,good-deal,https://www.cars.com/vehicledetail/cbe8a7f9-a8f3-4da8-870d-80bde30ddc0f/
Used,2025,Civic,Honda Civic Sport,Used 2025 Honda Civic Sport,"$25,500","15,014 mi.",Showcase Honda,good-deal,https://www.cars.com/vehicledetail/4faac451-1375-41e6-b0c5-2364308bb235/
Certified,2023,Civic,Honda Civic LX,Certified 2023 Honda Civic LX,"$23,999","28,205 mi.",Tempe Honda,good-deal,https://www.cars.com/vehicledetail/5ab14e7e-9ea5-45ce-b15e-ede692ac4b0a/
Used,2026,Civic,Honda Civic Sport,Used 2026 Honda Civic Sport,"$28,981","9,213 mi.",Avondale Toyota,good-deal,https://www.cars.com/vehicledetail/7ffb6067-4381-4c30-a0e0-e1603bee9849/
Used,2009,Civic,Honda Civic EX,Used 2009 Honda Civic EX,"$8,994","72,112 mi.",Right Toyota,great-deal,https://www.cars.com/vehicledetail/9962cded-a011-4a04-98a2-ad60d13d5f2f/?attribution_type=isa
Used,2024,Civic,Honda Civic EX-L,Used 2024 Honda Civic EX-L,"$26,690","11,107 mi.",AutoNation Honda Chandler,good-deal,https://www.cars.com/vehicledetail/d5d86b57-deb9-4096-bed8-d773216da30c/
Used,2020,Civic,Honda Civic Sport,Used 2020 Honda Civic Sport,"$20,298","63,661 mi.",Germain Honda of Surprise,good-deal,https://www.cars.com/vehicledetail/37438b5a-b6ec-429d-8c47-62077423f89e/
Used,2019,Civic,Honda Civic EX-L,Used 2019 Honda Civic EX-L,"$17,573","80,256 mi.",Bill Luke Tempe,good-deal,https://www.cars.com/vehicledetail/0a4f9f66-a3a0-458e-ac08-f90c78acdb70/
Used,2017,Civic,Honda Civic EX-T,Used 2017 Honda Civic EX-T,"$18,991","30,832 mi.",Mark Kia,good-deal,https://www.cars.com/vehicledetail/c62605bb-50be-4ee2-9733-33db77aeaf0e/
Certified,2025,Civic,Honda Civic Sport,Certified 2025 Honda Civic Sport,"$27,885","5,357 mi.",Arrowhead Honda,good-deal,https://www.cars.com/vehicledetail/e2c5d020-fc5b-4ada-bae4-b5a807aa8cb9/
Used,2018,Civic,Honda Civic LX,Used 2018 Honda Civic LX,"$18,300","54,930 mi.",AutoNation USA Phoenix Avondale,good-deal,https://www.cars.com/vehicledetail/44299dd2-539d-4f8d-949c-5e5dc6df9e4d/?attribution_type=isa
Used,2017,Civic,Honda Civic EX,Used 2017 Honda Civic EX,"$17,000","89,673 mi.",Certified Benz & Beemer,good-deal,https://www.cars.com/vehicledetail/d9a7ffbe-ddbe-4f14-bdef-ecdfc3962ace/
Used,2025,Civic,Honda Civic Sport,Used 2025 Honda Civic Sport,"$26,112","9,249 mi.",Camelback Toyota,good-deal,https://www.cars.com/vehicledetail/d03ce02e-e7d1-45ad-88fc-9917a0ba72d5/
Used,2020,Civic,Honda Civic LX,Used 2020 Honda Civic LX,"$16,877","119,120 mi.",Sands Chevrolet - Glendale,fair-deal,https://www.cars.com/vehicledetail/30e76f02-8919-429f-9293-fc4e9ed960b0/
Used,2017,Civic,Honda Civic EX,Used 2017 Honda Civic EX,"$18,999","92,148 mi.",Sands Chevrolet - Surprise,fair-deal,https://www.cars.com/vehicledetail/12afcaf3-0182-4e20-8216-09a2dedd7e9b/
Used,2019,Civic,Honda Civic Touring,Used 2019 Honda Civic Touring,"$17,114","99,916 mi.",AutoNation Ford Scottsdale,good-deal,https://www.cars.com/vehicledetail/a9c4a678-6ce7-4fc4-9210-7621e3ea2cc6/
Used,2024,Civic,Honda Civic Sport,Used 2024 Honda Civic Sport,"$25,998","55,520 mi.",CarMax Phoenix-West Valley,good-deal,https://www.cars.com/vehicledetail/48686ff0-4bd6-4d30-bba8-d91f910b8343/
Used,2017,Civic,Honda Civic EX,Used 2017 Honda Civic EX,"$16,491","78,430 mi.",Ideal Cars,good-deal,https://www.cars.com/vehicledetail/f20a6d2a-8b33-433f-9283-9106155276c6/
Used,2020,Civic,Honda Civic LX,Used 2020 Honda Civic LX,"$21,998","34,460 mi.",CarMax Phoenix-Gilbert,good-deal,https://www.cars.com/vehicledetail/500a608c-240e-4895-b707-7a9cae17c725/
Used,2019,Civic,Honda Civic LX,Used 2019 Honda Civic LX,"$18,995","48,781 mi.",Rollit Motors,good-deal,https://www.cars.com/vehicledetail/b8f52b22-7d4b-4ba4-9ad3-44f10829fba2/
Used,2019,Civic,Honda Civic LX,Used 2019 Honda Civic LX,"$16,970","110,605 mi.",Berge Volkswagen,fair-deal,https://www.cars.com/vehicledetail/c4953e49-a1b4-4f32-bcc6-fb4bee74b856/
Used,2025,Civic,Honda Civic Sport,Used 2025 Honda Civic Sport,"$27,560","8,221 mi.",Honda of Superstition Springs,good-deal,https://www.cars.com/vehicledetail/1934109f-da9d-4517-849b-bb42c21f8beb/
Used,2020,Civic,Honda Civic EX-L,Used 2020 Honda Civic EX-L,"$18,697","85,408 mi.",EchoPark Automotive Phoenix,good-deal,https://www.cars.com/vehicledetail/ccea245b-9be7-4f5b-92d7-bdf8faaf718b/
Used,2024,Civic,Honda Civic EX-L,Used 2024 Honda Civic EX-L,"$24,994","40,112 mi.",Findlay Hyundai Prescott,good-deal,https://www.cars.com/vehicledetail/c24d021d-f0ec-4805-9a7c-32654f2b8877/?attribution_type=ship
Used,2021,Civic,Honda Civic Sport,Used 2021 Honda Civic Sport,"$19,998","90,796 mi.",CarMax Buena Park,good-deal,https://www.cars.com/vehicledetail/1244ee40-9fc5-4cdc-a860-e157caaaf32a/?attribution_type=ship
