condition,year,model,trim,title,price,mileage,dealer,deal,link
Certified,2026,Corolla,Toyota Corolla SE,Certified 2026 Toyota Corolla SE,"$28,281",6 mi.,Avondale Toyota,default,https://www.cars.com/vehicledetail/32060685-fef9-4b26-be7a-221cd29eeb53/?attribution_type=premier
Used,2024,Corolla,Toyota Corolla LE,Used 2024 Toyota Corolla LE,"$19,395","56,197 mi.",AutoNation Honda Chandler,good-deal,https://www.cars.com/vehicledetail/848ea013-15d1-4d3f-a572-7015bfc1c20a/?attribution_type=isa
Used,2001,Corolla,Toyota Corolla CE,Used 2001 Toyota Corolla CE,"$4,988","138,638 mi.",Berge Toyota,great-deal,https://www.cars.com/vehicledetail/71ec26e4-cb37-4aee-9272-f5d1ae804469/
Used,2021,Corolla,Toyota Corolla LE,Used 2021 Toyota Corolla LE,"$17,996","70,374 mi.",AutoNation Toyota Tempe,good-deal,https://www.cars.com/vehicledetail/70a061b3-6d35-42d4-b471-42402660d0ee/
Used,2022,Corolla,Toyota Corolla LE,Used 2022 Toyota Corolla LE,"$20,411","34,958 mi.",AutoNation Subaru Scottsdale,good-deal,https://www.cars.com/vehicledetail/8e9a959f-6944-4edb-9b37-e6e3319bd395/
Certified,2024,Corolla,Toyota Corolla SE,Certified 2024 Toyota Corolla SE,"$26,981","18,094 mi.",Avondale Toyota,good-deal,https://www.cars.com/vehicledetail/1220fc2e-fef8-4b9b-83e9-99ec55131720/
Used,2023,Corolla,Toyota Corolla SE,Used 2023 Toyota Corolla SE,"$25,017","21,706 mi.",Camelback Toyota,good-deal,https://www.cars.com/vehicledetail/99a31a64-bda1-4a8e-825f-181063d8cbfe/
Certified,2022,Corolla,Toyota Corolla LE,Certified 2022 Toyota Corolla LE,"$19,500","77,746 mi.",Larry H. Miller Toyota Peoria,good-deal,https://www.cars.com/vehicledetail/99d4adcc-4e41-4258-bc6f-895559099dbb/
Used,2025,Corolla,Toyota Corolla LE,Used 2025 Toyota Corolla LE,"$22,995",509 mi.,Liberty Buick,good-deal,https://www.cars.com/vehicledetail/5d4f8d2f-d8be-4718-acbf-f42f51a31dac/
Used,2020,Corolla,Toyota Corolla LE,Used 2020 Toyota Corolla LE,"$18,500","60,042 mi.",Courtesy Chevrolet,good-deal,https://www.cars.com/vehicledetail/48b364a2-6f2b-4d6d-bd9e-8fbfb34c3ecf/
Used,2025,Corolla,Toyota Corolla SE,Used 2025 Toyota Corolla SE,"$22,773","20,636 mi.",Bill Luke Santan,good-deal,https://www.cars.com/vehicledetail/9a4de21f-2017-48b5-a7e6-43daf54c79f8/
Used,2021,Corolla,Toyota Corolla LE,Used 2021 Toyota Corolla LE,"$21,000","33,262 mi.",Larry H. Miller Chrysler Jeep Dodge RAM Surprise,good-deal,https://www.cars.com/vehicledetail/2bbc7ac1-1ff5-4001-a62b-cd0c8314836e/
Used,2024,Corolla,Toyota Corolla XSE,Used 2024 Toyota Corolla XSE,"$29,173","7,729 mi.",Bill Luke Tempe,fair-deal,https://www.cars.com/vehicledetail/8dda5b25-6437-4086-8f4d-37cc30211bbf/
Used,2024,Corolla,Toyota Corolla LE,Used 2024 Toyota Corolla LE,"$19,989","54,045 mi.",Camelback Ford Lincoln,great-deal,https://www.cars.com/vehicledetail/00508db3-57cb-42e8-95b3-7f92ead646fe/
Used,2021,Corolla,Toyota Corolla LE,Used 2021 Toyota Corolla LE,"$19,436","41,866 mi.",Audi North Scottsdale,good-deal,https://www.cars.com/vehicledetail/1b7e0330-18a7-4bb3-a952-b38107fbaa3d/
Used,2022,Corolla,Toyota Corolla LE,Used 2022 Toyota Corolla LE,"$20,846","61,748 mi.",Sands Chevrolet - Glendale,good-deal,https://www.cars.com/vehicledetail/d5d6c5e3-20ee-44e1-9bc8-50fe66625e23/
Used,2017,Corolla,Toyota Corolla LE,Used 2017 Toyota Corolla LE,"$12,900","118,051 mi.",Showcase Honda,fair-deal,https://www.cars.com/vehicledetail/4c7828ad-b75b-487b-af7c-04acc2642e0b/
Used,2023,Corolla,Toyota Corolla LE,Used 2023 Toyota Corolla LE,"$18,580","61,917 mi.",Ken Garff Kia Avondale,good-deal,https://www.cars.com/vehicledetail/e424a7b8-49e4-4cf2-9573-6eb8b3ed7560/
Used,2020,Corolla,Toyota Corolla SE,Used 2020 Toyota Corolla SE,"$17,586","81,019 mi.",Bell Road Mitsubishi,good-deal,https://www.cars.com/vehicledetail/fb8ca144-ff6c-46a6-9513-802328105803/
Used,2025,Corolla,Toyota Corolla LE,Used 2025 Toyota Corolla LE,"$21,777","17,715 mi.",CardinaleWay Mazda Peoria,good-deal,https://www.cars.com/vehicledetail/2787c407-1fc3-4ea1-aa93-cee36a3a396d/
Used,2025,Corolla,Toyota Corolla SE,Used 2025 Toyota Corolla SE,"$23,488","19,834 mi.",Acura of Peoria,great-deal,https://www.cars.com/vehicledetail/e633711d-89c6-4a73-a8ec-cafa8eb84ee8/
Used,2015,Corolla,Toyota Corolla LE,Used 2015 Toyota Corolla LE,"$15,998","83,519 mi.",CarMax Scottsdale,good-deal,https://www.cars.com/vehicledetail/00a0b24c-a760-49d4-a9ec-57302f439886/
Used,2025,Corolla,Toyota Corolla LE,Used 2025 Toyota Corolla LE,"$23,998","12,444 mi.",CarMax Phoenix-West Valley,good-deal,https://www.cars.com/vehicledetail/36c05352-ccb7-45e2-9a8c-777a1ec8ca7b/
Used,2009,Corolla,Toyota Corolla S,Used 2009 Toyota Corolla S,"$7,995","163,911 mi.",Fine Cars LLC,default,https://www.cars.com/vehicledetail/9478b425-06d4-43ad-ab31-12d57c5311b0/
Used,2016,Corolla,Toyota Corolla LE,Used 2016 Toyota Corolla LE,"$18,998","37,326 mi.",CarMax Costa Mesa,good-deal,https://www.cars.com/vehicledetail/df2b1332-4571-44d0-8275-ee5cfc38bb01/?attribution_type=ship
Used,2022,Corolla,Toyota Corolla SE Apex,Used 2022 Toyota Corolla SE Apex,"$20,998","70,491 mi.",CarMax Tucson - East,good-deal,https://www.cars.com/vehicledetail/5a462f73-3b8f-4b23-ba01-0209a38e782a/?attribution_type=ship
