condition,year,model,trim,title,price,mileage,dealer,deal,link
Used,2023,crown,Toyota Crown XLE,Used 2023 Toyota Crown XLE,"$29,877","19,184 mi.",Right Toyota,good-deal,https://www.cars.com/vehicledetail/ad4bf4c2-0f6f-461c-9a21-c6d3cb272a91/?attribution_type=p_one
Used,2025,crown,Toyota Crown XLE,Used 2025 Toyota Crown XLE,"$34,973","20,738 mi.",Bill Luke Santan,good-deal,https://www.cars.com/vehicledetail/d747ec2f-e062-43f9-b927-c63bdb2389c5/
Certified,2026,crown,Toyota Crown Nightshade,Certified 2026 Toyota Crown Nightshade,"$43,503","15,943 mi.",Larry H. Miller Toyota Peoria,good-deal,https://www.cars.com/vehicledetail/26276344-303a-4b60-88b2-028a2f2425c9/
Used,2023,crown,Toyota Crown Limited,Used 2023 Toyota Crown Limited,"$36,176","31,711 mi.",CardinaleWay Mazda Mesa,good-deal,https://www.cars.com/vehicledetail/52099bce-6817-4488-a859-8d57d4b75bd5/
Used,2024,crown,Toyota Crown Limited,Used 2024 Toyota Crown Limited,"$35,373","27,556 mi.",Bill Luke Tempe,great-deal,https://www.cars.com/vehicledetail/56e6bd03-4233-42a5-beea-71f2e6712beb/
Used,2024,crown,Toyota Crown Limited,Used 2024 Toyota Crown Limited,"$30,888","88,796 mi.",Camelback Toyota,good-deal,https://www.cars.com/vehicledetail/35c04903-67a2-4aaf-a25f-c82e23db9a9c/
Used,2024,crown,Toyota Crown XLE,Used 2024 Toyota Crown XLE,"$34,585","24,327 mi.",Ken Garff Kia Avondale,good-deal,https://www.cars.com/vehicledetail/0a822cd1-d3c0-4f6a-a7c1-41dd95babcbe/
Used,2025,crown,Toyota Crown XLE,Used 2025 Toyota Crown XLE,"$33,752","17,643 mi.",Hertz Car Sales Scottsdale,great-deal,https://www.cars.com/vehicledetail/9d6095fd-88e8-4817-9aaf-edff8b2f1d42/
Used,2025,crown,Toyota Crown XLE,Used 2025 Toyota Crown XLE,"$34,527","22,737 mi.",Hertz Car Sales Phoenix Bell Rd,good-deal,https://www.cars.com/vehicledetail/d5bb3e39-d1d1-43c6-961f-e8a7b04178dd/
Used,2024,crown,Toyota Crown Limited,Used 2024 Toyota Crown Limited,"$33,987","18,025 mi.",Right Toyota,great-deal,https://www.cars.com/vehicledetail/325c1258-0515-4b54-bd1f-91aa3dd52817/
Used,2025,crown,Toyota Crown XLE,Used 2025 Toyota Crown XLE,"$33,573","24,745 mi.",Bill Luke Chrysler Jeep Dodge RAM,great-deal,https://www.cars.com/vehicledetail/c29f5da4-31c4-4a96-9c40-d8c75f36db09/
Used,2025,crown,Toyota Crown XLE,Used 2025 Toyota Crown XLE,"$33,439","20,782 mi.",Hertz Car Sales Scottsdale,great-deal,https://www.cars.com/vehicledetail/0bc53292-8508-4ad8-bcf9-68e81c26287e/
Used,2023,crown,Toyota Crown Platinum,Used 2023 Toyota Crown Platinum,"$31,200","75,583 mi.",Mercedes-Benz of Arrowhead,great-deal,https://www.cars.com/vehicledetail/f245e3f7-1845-4acb-b059-c7986ff9ba8d/
Certified,2026,crown,Toyota Crown XLE,Certified 2026 Toyota Crown XLE,"$38,889","3,310 mi.",Right Toyota,good-deal,https://www.cars.com/vehicledetail/efbfa28d-f0e5-4236-b020-5da9b15985ac/
Used,2025,crown,Toyota Crown XLE,Used 2025 Toyota Crown XLE,"$32,603","26,751 mi.",Hertz Car Sales Scottsdale,good-deal,https://www.cars.com/vehicledetail/c81bdc48-8d12-4b42-8a79-321bd4fe9bf4/
Used,2025,crown,Toyota Crown XLE,Used 2025 Toyota Crown XLE,"$33,907","16,263 mi.",Hertz Car Sales Phoenix Bell Rd,great-deal,https://www.cars.com/vehicledetail/82b15b04-ea20-4be6-b753-b1e103b81845/
Certified,2023,crown,Toyota Crown Platinum,Certified 2023 Toyota Crown Platinum,"$36,981","26,806 mi.",Avondale Toyota,good-deal,https://www.cars.com/vehicledetail/9b3b73eb-9d4f-4dab-ad84-cc34bedcd6d1/
Certified,2024,crown,Toyota Crown Limited,Certified 2024 Toyota Crown Limited,"$36,495","27,889 mi.",AutoNation Toyota Tempe,good-deal,https://www.cars.com/vehicledetail/725add71-4231-4f41-b570-2a27504324c2/
Used,2024,crown,Toyota Crown Platinum,Used 2024 Toyota Crown Platinum,"$43,998","11,859 mi.",CarMax West Sahara,fair-deal,https://www.cars.com/vehicledetail/a569dd66-def0-4414-bbcc-c55541e17af0/?attribution_type=ship
Used,2023,crown,Toyota Crown XLE,Used 2023 Toyota Crown XLE,"$29,985","42,910 mi.",Jidd Motors Mitsubishi,good-deal,https://www.cars.com/vehicledetail/9afd2d8d-205e-438b-b28d-5c45d5a27b61/?attribution_type=ship
Certified,2024,crown,Toyota Crown Limited,Certified 2024 Toyota Crown Limited,"$36,185","9,815 mi.",Findlay Toyota Prescott,great-deal,https://www.cars.com/vehicledetail/3f4c8103-14af-4be0-b9b8-bd01d67b709d/
Used,2023,crown,Toyota Crown Limited,Used 2023 Toyota Crown Limited,"$34,999","42,860 mi.",Desert Toyota,good-deal,https://www.cars.com/vehicledetail/4839a138-5377-496b-83f0-d2b85b5f1aff/
Used,2025,crown,Toyota Crown XLE,Used 2025 Toyota Crown XLE,"$42,963","15,316 mi.",Hatch Toyota,good-deal,https://www.cars.com/vehicledetail/7edc20dc-426c-4382-bf8d-431a979552cb/
Used,2024,crown,Toyota Crown XLE,Used 2024 Toyota Crown XLE,"$34,999","21,438 mi.",Holmes Tuttle Ford Lincoln,great-deal,https://www.cars.com/vehicledetail/75465510-3403-412e-9db3-ce1628131f64/
