condition,year,model,trim,title,price,mileage,dealer,deal,link
Used,2024,prius,Toyota Prius LE,Used 2024 Toyota Prius LE,"$22,494","75,302 mi.",CardinaleWay Mazda Peoria,fair-deal,https://www.cars.com/vehicledetail/75878f16-a6e8-4685-ba9d-8caf9532c9de/
Used,2018,prius,Toyota Prius Two,Used 2018 Toyota Prius Two,"$14,988","106,760 mi.",Berge Toyota,great-deal,https://www.cars.com/vehicledetail/d397227e-df85-478a-bce1-842dd1090e6f/
Used,2017,prius,Toyota Prius Three,Used 2017 Toyota Prius Three,"$18,495","73,238 mi.",DriveTime of Glendale,great-deal,https://www.cars.com/vehicledetail/adf78bb4-1200-4227-aefe-32ad9691d569/
Used,2010,prius,Toyota Prius IV,Used 2010 Toyota Prius IV,"$10,500","130,314 mi.",Auto Junction Benz & Beemers,fair-deal,https://www.cars.com/vehicledetail/bdce39d5-27ee-4e64-95e7-b11aec451175/
Used,2023,prius,Toyota Prius XLE,Used 2023 Toyota Prius XLE,"$25,995","65,004 mi.",Go Green Auto LLC,good-deal,https://www.cars.com/vehicledetail/a011b4ab-1dbd-4b89-b689-36d9ce43a290/
Used,2015,prius,Toyota Prius Five,Used 2015 Toyota Prius Five,"$15,991","93,482 mi.",Scottsdale Mitsubishi,fair-deal,https://www.cars.com/vehicledetail/b2e89d36-4036-42ca-be4a-23d34a342f93/
Used,2025,prius,Toyota Prius XLE,Used 2025 Toyota Prius XLE,"$33,888","10,640 mi.",Berge Toyota,great-deal,https://www.cars.com/vehicledetail/8b2795fd-b4a8-42cd-b595-8ceb7b3946d6/
Used,2015,prius,Toyota Prius Two,Used 2015 Toyota Prius Two,"$12,995","83,208 mi.",Brown & Brown Wholesale,great-deal,https://www.cars.com/vehicledetail/450bfe27-1163-4241-baf7-3958ae595fbc/
Used,2008,prius,Toyota Prius Standard,Used 2008 Toyota Prius Standard,"$5,500","213,444 mi.",SNB Motors,,https://www.cars.com/vehicledetail/8e44b8ce-8b97-4f8e-b0e1-022e03648085/
Used,2015,prius,Toyota Prius Three,Used 2015 Toyota Prius Three,"$14,420","53,613 mi.",Camelback Toyota,good-deal,https://www.cars.com/vehicledetail/76a2516a-f47a-48d2-af61-d753573e58c0/
Used,2021,prius,Toyota Prius XLE,Used 2021 Toyota Prius XLE,"$18,255","119,219 mi.",Camelback Toyota,good-deal,https://www.cars.com/vehicledetail/c263c958-8c2f-4609-b686-37dcce57993e/
Used,2024,prius,Toyota Prius XLE,Used 2024 Toyota Prius XLE,"$31,749","6,698 mi.",AutoNation Toyota Tempe,great-deal,https://www.cars.com/vehicledetail/6289b492-42e7-4a1e-a4e3-07b0b0b6b772/
Used,2022,prius,Toyota Prius LE,Used 2022 Toyota Prius LE,"$17,988","94,393 mi.",101 AUTO OUTLET,good-deal,https://www.cars.com/vehicledetail/344489c0-2ed8-447e-b7f1-beb191d367c4/
Used,2020,prius,Toyota Prius LE,Used 2020 Toyota Prius LE,"$19,998","82,960 mi.",CarMax Scottsdale,good-deal,https://www.cars.com/vehicledetail/2b81ca90-4ce1-4c9e-a424-39d083e5c193/
Used,2010,prius,Toyota Prius III,Used 2010 Toyota Prius III,"$7,900","131,853 mi.",Legend Autos LLC,great-deal,https://www.cars.com/vehicledetail/3c0740d9-b5ec-4b80-a26b-88da55264d3a/
Used,2021,prius,Toyota Prius LE,Used 2021 Toyota Prius LE,"$24,134","22,576 mi.",CardinaleWay Mazda Peoria,great-deal,https://www.cars.com/vehicledetail/12b6e6d5-6d06-4ec2-851a-8ceb57a7e64d/
Used,2024,prius,Toyota Prius LE,Used 2024 Toyota Prius LE,"$24,500","24,893 mi.",Courtesy Chevrolet,great-deal,https://www.cars.com/vehicledetail/895150b9-07f6-4819-8573-d06b93fd5539/
Used,2013,prius,Toyota Prius Three,Used 2013 Toyota Prius Three,"$9,777","128,000 mi.",New Deal Pre-Owned Auto,good-deal,https://www.cars.com/vehicledetail/86a877b4-dc62-45ed-a5b9-88c91d77bab1/
Used,2024,prius,Toyota Prius LE,Used 2024 Toyota Prius LE,"$26,988","23,339 mi.",Berge Toyota,great-deal,https://www.cars.com/vehicledetail/5a87cb7f-1852-4254-9b39-eb0373371d8c/
Used,2025,prius,Toyota Prius XLE,Used 2025 Toyota Prius XLE,"$27,788","21,994 mi.",Auto House,great-deal,https://www.cars.com/vehicledetail/bd0933e0-e1e7-463e-be7f-24351b88588b/
Used,2012,prius,Toyota Prius Four,Used 2012 Toyota Prius Four,"$7,995","143,914 mi.",Carz R Us LLC,great-deal,https://www.cars.com/vehicledetail/672c48c0-5d71-490e-bcb4-1602140b67eb/
Used,2025,prius,Toyota Prius XLE,Used 2025 Toyota Prius XLE,"$31,995","11,669 mi.",Mercedes-Benz of Gilbert,great-deal,https://www.cars.com/vehicledetail/6759b99f-6d1d-430d-bad2-409cc6a3f96d/
Used,2017,prius,Toyota Prius Three,Used 2017 Toyota Prius Three,"$24,998","17,910 mi.",CarMax Escondido,good-deal,https://www.cars.com/vehicledetail/8b926409-4f82-4844-a569-ec30508f6f21/?attribution_type=ship
Used,2018,prius,Toyota Prius Two,Used 2018 Toyota Prius Two,"$15,998","124,926 mi.",CarMax West Sahara,good-deal,https://www.cars.com/vehicledetail/9066ec1e-854a-4edf-8bd9-9ff0a76e9176/?attribution_type=ship
