condition,year,model,trim,title,price,mileage,dealer,deal,link
Certified,2025,Rav4,Toyota RAV4 LE,Certified 2025 Toyota RAV4 LE,"$32,282","14,682 mi.",Avondale Toyota,fair-deal,https://www.cars.com/vehicledetail/9205e57d-7e0c-49f8-b883-7a1cd98d123b/?attribution_type=premier
Certified,2024,Rav4,Toyota RAV4 XLE,Certified 2024 Toyota RAV4 XLE,"$30,481","62,478 mi.",Avondale Toyota,good-deal,https://www.cars.com/vehicledetail/cd71b09f-0db5-4277-8c0c-5041a20c2885/
Used,2021,Rav4,Toyota RAV4,Used 2021 Toyota RAV4,"$26,104","99,206 mi.",Earnhardt Chrysler Jeep Dodge RAM,good-deal,https://www.cars.com/vehicledetail/94297b88-b52d-4e07-b5ff-e40c387e9f24/
Used,2019,Rav4,Toyota RAV4 XLE,Used 2019 Toyota RAV4 XLE,"$20,700","86,993 mi.",Subaru Superstore of Chandler,good-deal,https://www.cars.com/vehicledetail/bfa3eae3-42ec-44b8-a7d9-bec4d1964310/
Used,2013,Rav4,Toyota RAV4 XLE,Used 2013 Toyota RAV4 XLE,"$11,743","128,903 mi.",Larry H. Miller Nissan Mesa,good-deal,https://www.cars.com/vehicledetail/acc90415-b351-464d-90db-185dc60bd01d/
Used,2023,Rav4,Toyota RAV4 Limited,Used 2023 Toyota RAV4 Limited,"$32,999","34,364 mi.",Earnhardt Hyundai - San Tan,good-deal,https://www.cars.com/vehicledetail/1361d157-ca2f-44ca-99ee-aefd2afceb4b/
Used,2020,Rav4,Toyota RAV4 Limited,Used 2020 Toyota RAV4 Limited,"$23,385","117,379 mi.",Superstition Springs Lexus,fair-deal,https://www.cars.com/vehicledetail/89925a38-7c80-459f-a25f-4c86700e7967/
Used,2008,Rav4,Toyota RAV4 Limited,Used 2008 Toyota RAV4 Limited,"$12,997","101,677 mi.",Arrowhead Honda,fair-deal,https://www.cars.com/vehicledetail/7f8868c2-d204-4a11-9464-fd031675510c/
Used,2024,Rav4,Toyota RAV4 Adventure,Used 2024 Toyota RAV4 Adventure,"$30,996","48,881 mi.",AutoNation Toyota Tempe,good-deal,https://www.cars.com/vehicledetail/4a6fbd3c-3f1d-4e97-af4e-c45951ee8997/
Used,2021,Rav4,Toyota RAV4 TRD Off-Road,Used 2021 Toyota RAV4 TRD Off-Road,"$28,723","72,118 mi.",Right Honda,good-deal,https://www.cars.com/vehicledetail/68909b7e-3d86-4fa4-bd4c-2725d6d85c65/
Used,2021,Rav4,Toyota RAV4 LE,Used 2021 Toyota RAV4 LE,"$21,533","64,476 mi.",CardinaleWay Mazda Peoria,great-deal,https://www.cars.com/vehicledetail/78e6c98d-5df4-42f3-86b9-d46663d70e46/
Used,2022,Rav4,Toyota RAV4 LE,Used 2022 Toyota RAV4 LE,"$26,973","39,647 mi.",Bill Luke Santan,fair-deal,https://www.cars.com/vehicledetail/7389a783-f7ff-4c05-99fa-bd2b11636710/
Used,2022,Rav4,Toyota RAV4 XLE,Used 2022 Toyota RAV4 XLE,"$24,501","66,735 mi.",CardinaleWay Mazda Mesa,good-deal,https://www.cars.com/vehicledetail/1534e55d-766e-4e62-be34-8b20e58072c0/
