condition,year,model,trim,title,price,mileage,dealer,deal,link
Certified,2025,Rav4,Toyota RAV4 LE,Certified 2025 Toyota RAV4 LE,"$34,481","15,805 mi.",Avondale Toyota,good-deal,https://www.cars.com/vehicledetail/5766f1d9-bbb1-4457-b4fe-c752a6e99449/?attribution_type=premier
Used,2008,Rav4,Toyota RAV4 Base,Used 2008 Toyota RAV4 Base,"$10,888","97,292 mi.",Carizona,good-deal,https://www.cars.com/vehicledetail/ed7b96fe-5ee8-4820-8de8-2a0f07d363aa/?attribution_type=isa
Used,2013,Rav4,Toyota RAV4 XLE,Used 2013 Toyota RAV4 XLE,"$12,986","126,199 mi.",Avondale Toyota,good-deal,https://www.cars.com/vehicledetail/8cb6bfff-7e95-4732-90b2-8629f7855a08/
Certified,2026,Rav4,Toyota RAV4 Limited,Certified 2026 Toyota RAV4 Limited,"$45,998","3,185 mi.",Camelback Toyota,good-deal,https://www.cars.com/vehicledetail/16966a0b-1f85-4dda-9b36-0d19a2805768/
Used,2022,Rav4,Toyota RAV4 LE,Used 2022 Toyota RAV4 LE,"$26,973","39,647 mi.",Bill Luke Santan,good-deal,https://www.cars.com/vehicledetail/7389a783-f7ff-4c05-99fa-bd2b11636710/
Used,2019,Rav4,Toyota RAV4 XLE Premium,Used 2019 Toyota RAV4 XLE Premium,"$26,995","49,576 mi.",Midway Chevrolet,good-deal,https://www.cars.com/vehicledetail/fbb63bda-2fbb-4087-b48b-678f20a0cd88/
Used,2022,Rav4,Toyota RAV4 LE,Used 2022 Toyota RAV4 LE,"$23,990","56,011 mi.",AutoNation Toyota Tempe,good-deal,https://www.cars.com/vehicledetail/50c10e91-cdd7-4869-b664-70aab6b9fa0c/
Used,2013,Rav4,Toyota RAV4 Limited,Used 2013 Toyota RAV4 Limited,"$14,771","110,886 mi.",Carizona,fair-deal,https://www.cars.com/vehicledetail/a2c7a64f-455c-4ff5-869c-40a4dbd0e37a/?attribution_type=isa
Used,2023,Rav4,Toyota RAV4 LE,Used 2023 Toyota RAV4 LE,"$28,198","12,764 mi.",Germain Honda of Surprise,good-deal,https://www.cars.com/vehicledetail/cd980238-596c-41f4-b1db-61f11058edeb/
Used,2008,Rav4,Toyota RAV4 Limited,Used 2008 Toyota RAV4 Limited,"$12,997","101,677 mi.",Arrowhead Honda,fair-deal,https://www.cars.com/vehicledetail/7f8868c2-d204-4a11-9464-fd031675510c/
Used,2020,Rav4,Toyota RAV4 LE,Used 2020 Toyota RAV4 LE,"$19,650","100,540 mi.",AutoNation Hyundai Tempe,good-deal,https://www.cars.com/vehicledetail/eadbecbd-cc65-4ad8-bddb-90372fca8085/
Used,2025,Rav4,Toyota RAV4 XLE,Used 2025 Toyota RAV4 XLE,"$32,795","20,011 mi.",Pinnacle Nissan,good-deal,https://www.cars.com/vehicledetail/f42a39ba-5c26-44a1-8730-cdf335ab6a10/
Used,2021,Rav4,Toyota RAV4 XLE Premium,Used 2021 Toyota RAV4 XLE Premium,"$24,649","73,678 mi.",CardinaleWay Mazda Mesa,good-deal,https://www.cars.com/vehicledetail/5fad5e6b-d13b-441f-ac9d-368918cfa408/
Used,2014,Rav4,Toyota RAV4 XLE,Used 2014 Toyota RAV4 XLE,"$13,255","138,366 mi.",Carizona,good-deal,https://www.cars.com/vehicledetail/ddf9363e-3ad9-49bb-8c6d-8efe42ffcf66/?attribution_type=isa
Used,2019,Rav4,Toyota RAV4 LE,Used 2019 Toyota RAV4 LE,"$15,399","145,144 mi.",AutoNation Honda Chandler,good-deal,https://www.cars.com/vehicledetail/a69951f8-f2ba-4924-978c-6d7964b7f9b1/
Used,2020,Rav4,Toyota RAV4 Limited,Used 2020 Toyota RAV4 Limited,"$23,181","117,379 mi.",Superstition Springs Lexus,fair-deal,https://www.cars.com/vehicledetail/89925a38-7c80-459f-a25f-4c86700e7967/
