condition,year,model,trim,title,price,mileage,dealer,deal,link
Used,2022,Supra,Toyota Supra 3.0 Premium,Used 2022 Toyota Supra 3.0 Premium,"$54,995","14,030 mi.",AZ Auto Hunters,good-deal,https://www.cars.com/vehicledetail/2e9a9371-a2d1-4111-b038-e3e704ac7538/
Used,2020,Supra,Toyota Supra 3.0 Premium,Used 2020 Toyota Supra 3.0 Premium,"$48,991","52,013 mi.",Auto Boom LLC,fair-deal,https://www.cars.com/vehicledetail/ac436775-7a85-4c50-9147-46558ec6e14c/
Used,2022,Supra,Toyota Supra 2.0,Used 2022 Toyota Supra 2.0,"$42,995","36,230 mi.",I-10 Automotive Group,good-deal,https://www.cars.com/vehicledetail/af9a11ed-f162-411e-a045-c3642d8014b9/
Used,2020,Supra,Toyota Supra 3.0 Premium Launch Edition,Used 2020 Toyota Supra 3.0 Premium Launch Edition,"$49,991","32,689 mi.",Auto Boom LLC,good-deal,https://www.cars.com/vehicledetail/8557dc14-21de-4759-9184-25aa79bff196/
Used,2024,Supra,Toyota Supra 3.0 Premium,Used 2024 Toyota Supra 3.0 Premium,"$56,995","30,492 mi.",Mark Mazda,good-deal,https://www.cars.com/vehicledetail/ba63e547-3c5c-4986-a950-07834ca9eb29/
Used,2020,Supra,Toyota Supra 3.0 Premium,Used 2020 Toyota Supra 3.0 Premium,"$38,990","12,623 mi.",Expo Auto Sales LLC,,https://www.cars.com/vehicledetail/17f4843f-8951-488f-a1eb-4f99a4947976/
Used,2022,Supra,Toyota Supra 3.0 Premium,Used 2022 Toyota Supra 3.0 Premium,"$52,998","31,812 mi.",CarMax Serramonte,good-deal,https://www.cars.com/vehicledetail/8c9914c3-32d3-4687-a4be-8ab988ef7d0d/?attribution_type=ship
Used,2020,Supra,Toyota Supra 3.0 Premium,Used 2020 Toyota Supra 3.0 Premium,"$45,998","53,272 mi.",CarMax Stockton,great-deal,https://www.cars.com/vehicledetail/46b2fbc5-8208-4af1-8345-f15f06473e75/?attribution_type=ship
Used,2022,Supra,Toyota Supra 3.0,Used 2022 Toyota Supra 3.0,"$48,995","50,326 mi.",The Car Lot,fair-deal,https://www.cars.com/vehicledetail/dcff3b7d-c3aa-4bd4-aec2-80f99422a86c/
Used,2020,Supra,Toyota Supra 3.0 Premium Launch Edition,Used 2020 Toyota Supra 3.0 Premium Launch Edition,"$67,995","16,713 mi.",The Car Lot,,https://www.cars.com/vehicledetail/37c183f7-ccba-4e65-98cb-73081d7d5c42/
Used,2020,Supra,Toyota Supra 3.0,Used 2020 Toyota Supra 3.0,"$55,445","6,106 mi.",Anderson Chevrolet,good-deal,https://www.cars.com/vehicledetail/f1c5bedb-106a-471a-ab55-0fe77ac6f531/
Used,2020,Supra,Toyota Supra 3.0,Used 2020 Toyota Supra 3.0,"$46,916","41,868 mi.",Anderson Chevrolet,good-deal,https://www.cars.com/vehicledetail/62c112e7-a5f3-4c31-bf4b-5fb388769e18/
