condition,year,model,trim,title,price,mileage,dealer,deal,link
Certified,2021,Tacoma,Toyota Tacoma SR5,Certified 2021 Toyota Tacoma SR5,"$29,981","88,252 mi.",Avondale Toyota,good-deal,https://www.cars.com/vehicledetail/3009365f-b3cf-42b4-a241-40a6308b6945/?attribution_type=premier
Used,2018,Tacoma,Toyota Tacoma SR5,Used 2018 Toyota Tacoma SR5,"$23,895","118,498 mi.",Coulter INFINITI,good-deal,https://www.cars.com/vehicledetail/53ab3ff0-856a-438d-a962-b3433ba45367/?attribution_type=isa
Used,2023,Tacoma,Toyota Tacoma SR5,Used 2023 Toyota Tacoma SR5,"$36,218","29,396 mi.",AutoNation Subaru Scottsdale,good-deal,https://www.cars.com/vehicledetail/012629cb-f5e1-45e5-9d40-90a73d00e116/
Used,2022,Tacoma,Toyota Tacoma SR,Used 2022 Toyota Tacoma SR,"$24,305","71,892 mi.",Liberty Buick,great-deal,https://www.cars.com/vehicledetail/ccf705e3-720e-4214-9c31-63f34202379b/
Used,2017,Tacoma,Toyota Tacoma TRD Off Road,Used 2017 Toyota Tacoma TRD Off Road,"$27,800","119,203 mi.",Showcase Honda,fair-deal,https://www.cars.com/vehicledetail/94041081-4d56-4713-a4b8-81f179198f02/
Certified,2024,Tacoma,Toyota Tacoma TRD Sport,Certified 2024 Toyota Tacoma TRD Sport,"$39,188","18,252 mi.",Camelback Toyota,good-deal,https://www.cars.com/vehicledetail/b7b3d49c-4313-4645-b94b-3bd74ce99655/
Used,2023,Tacoma,Toyota Tacoma TRD Sport,Used 2023 Toyota Tacoma TRD Sport,"$41,509","25,807 mi.",Larry H. Miller Toyota Peoria,fair-deal,https://www.cars.com/vehicledetail/b05c43c9-73d0-4304-bc2c-59071e580306/
Used,2023,Tacoma,Toyota Tacoma TRD Sport,Used 2023 Toyota Tacoma TRD Sport,"$36,981","55,471 mi.",Midway Nissan,good-deal,https://www.cars.com/vehicledetail/74760306-7f04-45ed-99c0-59fca8bcd44c/
Used,2024,Tacoma,Toyota Tacoma SR5,Used 2024 Toyota Tacoma SR5,"$36,973","21,943 mi.",Bill Luke Santan,good-deal,https://www.cars.com/vehicledetail/0b837b8b-eb4f-4014-af1e-7701e7b3f477/
Used,2021,Tacoma,Toyota Tacoma TRD Sport,Used 2021 Toyota Tacoma TRD Sport,"$30,977","47,935 mi.",LeSueur Car Company,good-deal,https://www.cars.com/vehicledetail/280405e0-c03a-46b9-89c3-3345779bcd43/
Used,2025,Tacoma,Toyota Tacoma SR5,Used 2025 Toyota Tacoma SR5,"$44,988","13,804 mi.",Berge Toyota,fair-deal,https://www.cars.com/vehicledetail/3b8d5269-41ce-4989-a6d1-cf3653f6f307/
Certified,2025,Tacoma,Toyota Tacoma TRD Sport,Certified 2025 Toyota Tacoma TRD Sport,"$44,981","17,647 mi.",Avondale Toyota,good-deal,https://www.cars.com/vehicledetail/6ee26ded-54a5-46e1-bd13-592f8b44a923/
Used,2025,Tacoma,Toyota Tacoma SR5,Used 2025 Toyota Tacoma SR5,"$34,400","19,141 mi.",Courtesy Chrysler Dodge Jeep RAM of Superstition Springs,good-deal,https://www.cars.com/vehicledetail/677093c2-9c93-4923-8637-eb39718ba163/
Used,2024,Tacoma,Toyota Tacoma TRD Sport,Used 2024 Toyota Tacoma TRD Sport,"$34,554","31,953 mi.",Right Honda,great-deal,https://www.cars.com/vehicledetail/f2d30fd9-792d-496a-b243-d44896875014/
Used,2023,Tacoma,Toyota Tacoma SR5,Used 2023 Toyota Tacoma SR5,"$34,493","29,616 mi.",Mark Kia,good-deal,https://www.cars.com/vehicledetail/b2346381-ca83-4cea-9d22-eae03827d58b/
Used,2025,Tacoma,Toyota Tacoma SR5,Used 2025 Toyota Tacoma SR5,"$36,973","9,975 mi.",Bill Luke Tempe,good-deal,https://www.cars.com/vehicledetail/2d55cf78-367c-46f3-81c8-59523be8a7a8/
Used,2022,Tacoma,Toyota Tacoma TRD Off Road,Used 2022 Toyota Tacoma TRD Off Road,"$32,990","59,236 mi.",AutoNation Chevrolet Mesa,good-deal,https://www.cars.com/vehicledetail/3d06ee00-e5d8-40ef-9d84-455d5692ea1c/
Used,2021,Tacoma,Toyota Tacoma SR5,Used 2021 Toyota Tacoma SR5,"$28,991","77,931 mi.",Ken Garff Gateway Chevrolet,good-deal,https://www.cars.com/vehicledetail/a90f62c7-9d32-4585-9e90-8fbcfe3c91fd/
Used,2024,Tacoma,Toyota Tacoma SR5,Used 2024 Toyota Tacoma SR5,"$33,000","53,839 mi.",Courtesy Volvo Cars of Scottsdale,good-deal,https://www.cars.com/vehicledetail/32441326-8a63-41d9-bc49-dfe2e9a24b8d/
Used,2023,Tacoma,Toyota Tacoma TRD Sport,Used 2023 Toyota Tacoma TRD Sport,"$39,499","31,218 mi.",Peoria Ford,good-deal,https://www.cars.com/vehicledetail/6eb155c4-619b-449e-86bd-0bb86a14bfa7/
Certified,2023,Tacoma,Toyota Tacoma TRD Off Road,Certified 2023 Toyota Tacoma TRD Off Road,"$36,088","71,768 mi.",Earnhardt Ford,good-deal,https://www.cars.com/vehicledetail/b92b3568-ac4c-4532-8918-45867b19d41b/
