condition,year,model,trim,title,price,mileage,dealer,deal,link
Used,2019,Tundra,Toyota Tundra 1794 Edition,Used 2019 Toyota Tundra 1794 Edition,"$48,298","33,425 mi.",AutoNation Nissan Tempe,fair-deal,https://www.cars.com/vehicledetail/29794907-3d4c-4abf-a37c-676af36fdb4f/?attribution_type=p_one
Used,2015,Tundra,Toyota Tundra Platinum,Used 2015 Toyota Tundra Platinum,"$29,500","102,519 mi.",Coulter INFINITI,good-deal,https://www.cars.com/vehicledetail/b7e3a03d-3df8-4086-94ae-dffeac14539c/?attribution_type=isa
Used,2023,Tundra,Toyota Tundra SR5,Used 2023 Toyota Tundra SR5,"$35,477","55,752 mi.",LeSueur Car Company,great-deal,https://www.cars.com/vehicledetail/c5b68e1c-7b21-4083-91e4-d0a7ed46093f/
Certified,2025,Tundra,Toyota Tundra SR5,Certified 2025 Toyota Tundra SR5,"$47,963","1,603 mi.",Larry H. Miller Toyota Peoria,good-deal,https://www.cars.com/vehicledetail/ca6f7d7b-32f1-4e23-9e7c-8c214d92230c/
Used,2025,Tundra,Toyota Tundra SR5,Used 2025 Toyota Tundra SR5,"$46,981","29,041 mi.",Avondale Toyota,good-deal,https://www.cars.com/vehicledetail/151ca4a0-1abc-4ccc-899a-07f3916ba79d/
Used,2021,Tundra,Toyota Tundra SR5,Used 2021 Toyota Tundra SR5,"$40,400","95,590 mi.",Showcase Honda,fair-deal,https://www.cars.com/vehicledetail/7f7f0979-149b-4632-99a0-cc0baa6792cf/
Used,2016,Tundra,Toyota Tundra SR5,Used 2016 Toyota Tundra SR5,"$30,950","115,547 mi.",Larry H. Miller Dodge RAM Peoria,fair-deal,https://www.cars.com/vehicledetail/69617a59-2ceb-4941-9b63-dd16231ee0de/
Used,2025,Tundra,Toyota Tundra Platinum,Used 2025 Toyota Tundra Platinum,"$63,973","5,500 mi.",Bill Luke Santan,good-deal,https://www.cars.com/vehicledetail/190c598a-fb6d-4893-98a0-e90a940e2451/
Certified,2022,Tundra,Toyota Tundra SR5,Certified 2022 Toyota Tundra SR5,"$40,065","40,274 mi.",AutoNation Ford Scottsdale,good-deal,https://www.cars.com/vehicledetail/316ff4d4-2edd-4790-b42b-a6eadc0daff3/
Certified,2024,Tundra,Toyota Tundra SR5,Certified 2024 Toyota Tundra SR5,"$39,488","27,129 mi.",Camelback Toyota,good-deal,https://www.cars.com/vehicledetail/f3bf242a-6172-4cd0-b645-1894365dbbf6/
Used,2024,Tundra,Toyota Tundra SR5,Used 2024 Toyota Tundra SR5,"$40,988","28,087 mi.",Midway Chevrolet,good-deal,https://www.cars.com/vehicledetail/94cc59db-bb05-405c-9741-e8bc50d5207e/
Used,2025,Tundra,Toyota Tundra SR5,Used 2025 Toyota Tundra SR5,"$47,988","2,932 mi.",Berge Toyota,good-deal,https://www.cars.com/vehicledetail/0e2e6290-3173-4b37-b5bc-1b0f1e9260c9/
Used,2017,Tundra,Toyota Tundra SR5,Used 2017 Toyota Tundra SR5,"$29,876","93,674 mi.",Bell Road Mitsubishi,good-deal,https://www.cars.com/vehicledetail/137a5395-4bf8-46a6-92da-a6ca41bd2408/
Used,2023,Tundra,Toyota Tundra Limited,Used 2023 Toyota Tundra Limited,"$45,500","35,966 mi.",Courtesy Volvo Cars of Scottsdale,great-deal,https://www.cars.com/vehicledetail/a4f164b3-756e-45cd-be9a-3b521780fe46/
Used,2024,Tundra,Toyota Tundra 1794 Edition,Used 2024 Toyota Tundra 1794 Edition,"$52,591","57,000 mi.",Mark Kia,good-deal,https://www.cars.com/vehicledetail/5b4daffe-8b4a-44c3-b692-8f787650b995/
Used,2025,Tundra,Toyota Tundra SR5,Used 2025 Toyota Tundra SR5,"$42,473","28,975 mi.",Bill Luke Tempe,good-deal,https://www.cars.com/vehicledetail/30bb4add-91cc-4477-9280-87dae000b067/
Certified,2026,Tundra,Toyota Tundra SR5,Certified 2026 Toyota Tundra SR5,"$49,240","1,584 mi.",AutoNation Toyota Tempe,great-deal,https://www.cars.com/vehicledetail/7ad154de-7b22-4aa9-8a21-97fb83c1076d/
Used,2025,Tundra,Toyota Tundra Limited,Used 2025 Toyota Tundra Limited,"$52,340","10,576 mi.",Right Honda,good-deal,https://www.cars.com/vehicledetail/f4323351-5568-4ec4-a1bd-cf52ce728d48/
Used,2024,Tundra,Toyota Tundra Platinum,Used 2024 Toyota Tundra Platinum,"$49,888","43,287 mi.",Acura of Peoria,good-deal,https://www.cars.com/vehicledetail/131cc6bc-aada-4217-937a-090d45aa63f7/
Used,2023,Tundra,Toyota Tundra Limited,Used 2023 Toyota Tundra Limited,"$46,900","36,842 mi.",Earnhardt Lexus,good-deal,https://www.cars.com/vehicledetail/20f5b4e2-bad0-4e7f-8e6f-9b9e1a7e033e/
Used,2024,Tundra,Toyota Tundra SR5,Used 2024 Toyota Tundra SR5,"$48,912","12,932 mi.",AutoNation Chevrolet Gilbert,good-deal,https://www.cars.com/vehicledetail/95e8d25a-ef51-4959-9acc-04e26660a947/
Used,2024,Tundra,Toyota Tundra 1794 Edition,Used 2024 Toyota Tundra 1794 Edition,"$55,586","12,612 mi.",AutoNation Chrysler Dodge Jeep Ram,good-deal,https://www.cars.com/vehicledetail/32e413b5-b8a1-40a7-a576-217298aef205/
Used,2024,Tundra,Toyota Tundra 1794 Edition,Used 2024 Toyota Tundra 1794 Edition,"$55,800","29,908 mi.",Certified Benz & Beemer,good-deal,https://www.cars.com/vehicledetail/a90f78ef-0864-432e-aa4c-3615a2f03c43/
Used,2022,Tundra,Toyota Tundra SR5,Used 2022 Toyota Tundra SR5,"$39,998","27,969 mi.",CarMax San Gabriel Valley/Duarte,good-deal,https://www.cars.com/vehicledetail/90f3bfb5-f6ce-4437-b58f-84f5a8385fc0/?attribution_type=ship
Used,2014,Tundra,Toyota Tundra 1794,Used 2014 Toyota Tundra 1794,"$32,998","103,899 mi.",CarMax Centennial,fair-deal,https://www.cars.com/vehicledetail/d5802f6a-e90b-4be3-be8e-720e71c564b8/?attribution_type=ship
